ID,NOMBRE_JUGADOR,POS,EQUIPO,LINK_JUGADOR,MINUTOS,GOLES,GOLES/90 HIST,MINUTOS ULT 3,GOLES ULT 3,GOLES/90 ULT 3,MINUTOS 2025,GOLES 2025,GOLES/90 2025
910641,Bruno Leyes,VOL,Godoy Cruz,https://www.transfermarkt.es/bruno-leyes/profil/spieler/910641,7583,1,0.01,6542,0,0.0,835,0,0.0
657744,Vicente Poggi,VOL,Godoy Cruz,https://www.transfermarkt.es/vicente-poggi/profil/spieler/657744,8143,6,0.07,4422,4,0.08,370,0,0.0
400677,Nicolás Fernández,DEL,Godoy Cruz,https://www.transfermarkt.es/nicolas-fernandez/profil/spieler/400677,19546,11,0.05,9195,6,0.06,694,0,0.0
836493,Gonzalo Abrego,VOL,Godoy Cruz,https://www.transfermarkt.es/gonzalo-abrego/profil/spieler/836493,11710,10,0.08,8547,9,0.09,563,0,0.0
1040058,Mariano Santiago,VOL,Godoy Cruz,https://www.transfermarkt.es/mariano-santiago/profil/spieler/1040058,3692,1,0.02,3692,1,0.02,-,0,0.0
1131421,Agustín Valverde,DEF,Godoy Cruz,https://www.transfermarkt.es/agustin-valverde/profil/spieler/1131421,614,2,0.29,642,2,0.28,270,1,0.33
497156,Bautista Cejas,DEL,Godoy Cruz,https://www.transfermarkt.es/bautista-cejas/profil/spieler/497156,5929,12,0.18,3500,5,0.13,72,0,0.0
838796,Tomás Pozzo,VOL,Godoy Cruz,https://www.transfermarkt.es/tomas-pozzo/profil/spieler/838796,2723,4,0.13,2541,4,0.14,128,0,0.0
1087316,Juan Pérez,VOL,Godoy Cruz,https://www.transfermarkt.es/juan-perez/profil/spieler/1087316,3270,2,0.06,3270,2,0.06,216,0,0.0
1103934,Agustín Villalobos,VOL,Godoy Cruz,https://www.transfermarkt.es/agustin-villalobos/profil/spieler/1103934,748,0,0.0,748,0,0.0,-,0,0.0
1305935,Santino Andino,DEL,Godoy Cruz,https://www.transfermarkt.es/santino-andino/profil/spieler/1305935,2939,5,0.15,2939,5,0.15,357,1,0.25
600028,Bastián Yáñez,DEL,Godoy Cruz,https://www.transfermarkt.es/bastian-yanez/profil/spieler/600028,8120,8,0.09,5121,5,0.09,646,0,0.0
923459,Facundo Altamira,DEL,Godoy Cruz,https://www.transfermarkt.es/facundo-altamira/profil/spieler/923459,2989,7,0.21,2841,7,0.22,499,1,0.18
985004,Matías González,VOL,Godoy Cruz,https://www.transfermarkt.es/matias-gonzalez/profil/spieler/985004,1356,1,0.07,1211,1,0.07,194,0,0.0
1006250,Daniel Barrea,DEL,Godoy Cruz,https://www.transfermarkt.es/daniel-barrea/profil/spieler/1006250,2569,5,0.18,2569,5,0.18,177,0,0.0
831110,Luca Martínez Dupuy,DEL,Godoy Cruz,https://www.transfermarkt.es/luca-martinez-dupuy/profil/spieler/831110,3900,15,0.35,2495,9,0.32,483,2,0.37
816665,Kevin Parzajuk,DEL,Godoy Cruz,https://www.transfermarkt.es/kevin-parzajuk/profil/spieler/816665,3527,14,0.36,2409,10,0.37,594,0,0.0
732442,Agustín Auzmendi,DEL,Godoy Cruz,https://www.transfermarkt.es/agustin-auzmendi/profil/spieler/732442,9651,76,0.71,9561,76,0.72,2252,20,0.8
845336,Nahuel Ulariaga,DEL,Newell's Old Boys,https://www.transfermarkt.es/nahuel-ulariaga/profil/spieler/845336,812,5,0.55,799,4,0.45,-,0,0.0
79422,Keylor Navas,ARQ,Newell's Old Boys,https://www.transfermarkt.es/keylor-navas/profil/spieler/79422,44106,0,0.0,2970,0,0.0,720,0,0.0
75462,Lucas Hoyos,ARQ,Newell's Old Boys,https://www.transfermarkt.es/lucas-hoyos/profil/spieler/75462,30330,0,0.0,9392,0,0.0,-,0,0.0
1229028,Josué Reinatti,ARQ,Newell's Old Boys,https://www.transfermarkt.es/josue-reinatti/profil/spieler/1229028,2070,0,0.0,2070,0,0.0,180,0,0.0
